ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена
868652,2492869,9785170925148,Фрай М.,16+,2016,2,АСТ,480,Сказки старого Вильнюса IV,https://img-gorod.ru/upload/iblock/214/214f60bfb1fa31fa73807f1611bb13dd.jpg,,,4,,Суперобложка,10000,20.6 x 13.5 x 2.7,,359
870661,2495796,9785170925087,Фрай М.,16+,2016,6,АСТ,320,Сказки старого Вильнюса,https://img-gorod.ru/upload/iblock/8dd/8dd0c18265082e960acffe882f61c774.jpg,,,4,,Суперобложка,3500,20.6 x 13 x 2,,332
870662,2495797,9785170925100,Фрай М.,16+,2016,4,АСТ,,Сказки старого Вильнюса II,https://img-gorod.ru/upload/iblock/05a/05a23f1685d65b44fbd1e18a779da84a.jpg,,,5,,Суперобложка,3000,20.6 x 13 x 2.5,,356
870663,2495798,9785170925124,Фрай М.,16+,2016,2,АСТ,,Сказки старого Вильнюса III,https://img-gorod.ru/upload/iblock/cc9/cc905dc8002a6138f646a480d61e8de2.jpg,,,5,,Суперобложка,3500,20.6 x 13 x 2.6,,332
872961,2497515,9785170925155,Фрай М.,16+,2016,2,АСТ,352,"Обжора-хохотун. История, рассказанная сэром Мелифаро",https://img-gorod.ru/upload/iblock/a88/a88e3cc7ad15b770aac8b5d512e7ba83.jpg,,,5,Хроники Ехо,Твердая бумажная,4000,20.6 x 13 x 2.2,,356
875812,2499957,9785170925193,Фрай М.,16+,2016,4,АСТ,416,Дар Шаванахолы,https://img-gorod.ru/upload/iblock/3ec/3ecfe9ca259a1e623d989cc028c8b3f2.jpg,,,3,Хроники Ехо,Твердая бумажная,4000,20.5 x 13 x 2.3,,356
882380,2504150,9785170951970,Фрай М.,16+,2016,4,АСТ,416,Тубурская игра,https://img-gorod.ru/upload/iblock/649/649286f6475edb51631d37748de62fbb.jpg,,,5,Хроники Ехо,Твердая бумажная,4000,20.5 x 13 x 2.3,,356
886599,2507584,9785170925223,Фрай М.,18+,2016,3,АСТ,448,Энциклопедия мифов: А-К,https://img-gorod.ru/upload/iblock/a8e/a8e8676667a6c303f61ae533203f7d8a.jpg,,,4,Миры Макса Фрая,Твердая бумажная,4000,20.6 x 13.1 x 2.4,,356
898955,2517542,9785170953349,Фрай М.,16+,2016,8,АСТ,480,Я иду искать,https://img-gorod.ru/upload/iblock/bbf/bbf3561caff1f71bec73323e41d261ff.jpg,,,4,Сновидения Ехо,Твердая бумажная,30000,20.7 x 13.3 x 2.5,,356
901916,2519960,9785170969654,Фрай М.,18+,2016,1,АСТ,1200,Вселенная Ехо. Том 2,https://img-gorod.ru/upload/iblock/a02/a021761bb9cdda225fc1d89c01e68e31.jpg,,,5,,Твердая бумажная,3000,26.3 x 20.4 x 5.8,,1252
906001,2524302,9785170980888,Фрай М.,18+,2016,7,АСТ,416,Жалобная книга,https://img-gorod.ru/upload/iblock/070/0709e911a747addf80f0b26c165f2c40.jpg,,,4,Миры Макса Фрая,Твердая бумажная,4000,20.5 x 13 x 2.4,,356
917337,2535931,9785170973958,Фрай М. (сост.),18+,2016,3,АСТ,352,Авиамодельный кружок при школе №6,https://img-gorod.ru/upload/iblock/ec3/ec31fcad1e3ac9098dc96ec03f01e58f.jpg,,,3,Миры Макса Фрая,Твердая бумажная,5000,21.9 x 14.4 x 2,,356
924480,2543534,9785170988099,Фрай М.,16+,2016,0,АСТ,384,Чуб земли,https://img-gorod.ru/upload/iblock/8ab/8ab578897f8e9e02468090e59781ba7f.jpg,,,0,Эксклюзивная новая классика,Мягкая бумажная,5000,18 x 11.5 x 2.7,,162
933415,2551022,9785170999538,Фрай М.,18+,2016,1,АСТ,320,Первая линия. Рассказы и истории разных лет,https://img-gorod.ru/upload/iblock/ea4/ea465560aac87776c66df2d8fc255900.jpg,,,5,Миры Макса Фрая,Твердая бумажная,5000,20.5 x 13 x 2,,332
936702,2555304,9785170999422,Фрай М.,16+,2016,0,АСТ,320,Властелин Морморы,https://img-gorod.ru/upload/iblock/fba/fba54b8997690383ea7be6bf05aba7ea.jpg,,,0,Эксклюзивная новая классика,Мягкая бумажная,4000,18 x 11.6 x 2.3,,162
940377,2558849,9785171003708,Фрай М.,16+,2016,5,АСТ,480,Сказки старого Вильнюса V,https://img-gorod.ru/upload/iblock/ee5/ee577df0c45c9b7cda648b75eb890534.jpg,,,5,,Суперобложка,10000,21 x 13.3 x 2.5,,356
951878,2568176,9785171012946,Фрай М.,18+,2017,1,АСТ,352,Вторая линия. Рассказы и истории разных лет,https://img-gorod.ru/upload/iblock/626/62694c78655d4d18b59e253ef55a5e82.jpg,,,5,Миры Макса Фрая,Твердая бумажная,5000,20.5 x 13 x 2,,77
959087,2575073,9785171014322,Фрай М.,18+,2017,0,АСТ,352,Авиамодельный кружок при школе № 6,https://img-gorod.ru/upload/iblock/9c8/9c8c4155eceb122ed9945f5ff9ad0721.jpg,,,0,Миры Макса Фрая,Твердая бумажная,2000,20.7 x 13 x 2.7,,356
960491,2576264,9785171016395,Фрай М.,16+,2017,27,АСТ,384,Сундук мертвеца,https://img-gorod.ru/upload/iblock/0e8/0e8bf63b2a8c4483e8e766169051f8c3.jpg,,,4,Сновидения Ехо,Твердая бумажная,30000,20.5 x 13 x 3,,356
973390,2585210,9785171022310,Фрай М.,16+,2017,10,АСТ,1184,Хроники Ехо,https://img-gorod.ru/upload/iblock/425/425e05fb2a5d4d6d9330960a18c926ae.jpg,,,5,,Твердая бумажная,3000,26.3 x 20.3 x 6.5,,1330
979981,2588540,9785171032807,Фрай М.,16+,2017,0,АСТ,320,Неуловимый Хабба Хэн,https://img-gorod.ru/upload/iblock/d7f/d7fd1bc38a912efbc90baabcbdc51913.jpg,,,0,Эксклюзивная новая классика,Мягкая бумажная,3500,18 x 11.5 x 2.4,,162
980082,2588817,9785171038922,Фрай М.,18+,2017,4,АСТ,320,Сказки старого Вильнюса,https://img-gorod.ru/upload/iblock/429/42981ec9f75513dd2760983ffc916f50.jpg,,,5,,Твердая бумажная,3000,20.6 x 13 x 1.8,,332
980083,2588818,9785171040123,Фрай М.,16+,2017,3,АСТ,448,Сказки старого Вильнюса III,https://img-gorod.ru/upload/iblock/6e1/6e12abfc8b00b94a9f1857df1cc8ca57.jpg,,,4,,Твердая бумажная,2000,20.5 x 13 x 2.5,,356
980937,2590892,9785171027773,Фрай М.,16+,2017,3,АСТ,416,Сказки старого Вильнюса II,https://img-gorod.ru/upload/iblock/d03/d03a9cbcee502aa15b3dc3cfad42d778.jpg,,,5,,Твердая бумажная,2000,20.5 x 13 x 2.5,,332
987656,2596351,9785171035648,Фрай М.,18+,2017,2,АСТ,544,Одна и та же книга,https://img-gorod.ru/upload/iblock/55d/55d4dcf2d84d70e87abd75f0c47c0d4d.jpg,,,5,Миры Макса Фрая,Твердая бумажная,4000,20.6 x 13.1 x 3.5,,395
991033,2598904,9785171042202,Фрай М.,18+,2017,2,АСТ,352,Сказки старого Вильнюса VI,https://img-gorod.ru/upload/iblock/7b3/7b3370ae1b72a4329f9ee4685d7d0701.jpg,,,5,,Суперобложка,6000,20.5 x 13.2 x 2,,395
996307,2602879,9785171035693,Фрай М.,18+,2017,1,АСТ,448,Сказки и истории,https://img-gorod.ru/upload/iblock/c6e/c6e25ee2ed06d350a41d5a82a1954aec.jpg,,,5,Миры Макса Фрая,Твердая бумажная,4000,20.5 x 13.1 x 2.3,,356
